"name","value","box"
"Beta",6.09,"02"
"lambdaM",1000,"02"
"lambdaE",1000,"02"
"sigmaR",0.75,"02"
"sigmaW",0.75,"02"
"sigmaN",0.75,"02"
"alphan",0.966847217753928,"02"
"sigman",2.14059894547446e-11,"02"
"alphar",0.999999999755182,"02"
"sigmar",8.09517796609837e-15,"02"
"alphaw",0.99999982398326,"02"
"sigmaw",198.872087837028,"02"
"sigmaRBC",0.199818519577123,"02"
"sigmaRetic",0.307298193744669,"02"
"sigmaPd",0.821210362677874,"02"
"Beta",5.76,"03"
"lambdaM",1000,"03"
"lambdaE",1000,"03"
"sigmaR",0.75,"03"
"sigmaW",0.75,"03"
"sigmaN",0.75,"03"
"alphan",0.966847217753928,"03"
"sigman",2.14059894547446e-11,"03"
"alphar",0.999999999755182,"03"
"sigmar",8.09517796609837e-15,"03"
"alphaw",0.99999982398326,"03"
"sigmaw",198.872087837028,"03"
"sigmaRBC",0.199818519577123,"03"
"sigmaRetic",0.307298193744669,"03"
"sigmaPd",0.821210362677874,"03"
"Beta",4.08,"04"
"lambdaM",1000,"04"
"lambdaE",1000,"04"
"sigmaR",0.75,"04"
"sigmaW",0.75,"04"
"sigmaN",0.75,"04"
"alphan",0.966847217753928,"04"
"sigman",2.14059894547446e-11,"04"
"alphar",0.999999999755182,"04"
"sigmar",8.09517796609837e-15,"04"
"alphaw",0.99999982398326,"04"
"sigmaw",198.872087837028,"04"
"sigmaRBC",0.199818519577123,"04"
"sigmaRetic",0.307298193744669,"04"
"sigmaPd",0.821210362677874,"04"
"lambdaE",1000,"05"
"sigmaR",0.75,"05"
"alphar",0.999999999755182,"05"
"sigmar",8.09517796609837e-15,"05"
"sigmaRBC",0.199818519577123,"05"
"sigmaRetic",0.307298193744669,"05"
